MatchId,BotType,Result,TimeMs,TotalClicks
224,RandomBot,DEFEAT,0,2
225,RandomBot,DEFEAT,0,4
226,RandomBot,DEFEAT,1,7
227,RandomBot,DEFEAT,0,3
228,RandomBot,DEFEAT,0,2
229,RandomBot,DEFEAT,0,7
230,RandomBot,DEFEAT,0,4
231,RandomBot,DEFEAT,0,2
232,RandomBot,DEFEAT,0,3
233,RandomBot,DEFEAT,0,2
234,RandomBot,DEFEAT,0,2
235,RandomBot,DEFEAT,0,1
236,RandomBot,DEFEAT,0,7
237,RandomBot,DEFEAT,0,6
238,RandomBot,DEFEAT,0,1
239,RandomBot,DEFEAT,0,2
240,RandomBot,DEFEAT,0,2
241,RandomBot,DEFEAT,0,2
242,RandomBot,DEFEAT,0,5
243,RandomBot,DEFEAT,0,4
244,RandomBot,DEFEAT,0,1
245,RandomBot,DEFEAT,0,3
246,RandomBot,DEFEAT,0,1
247,RandomBot,DEFEAT,0,5
248,RandomBot,DEFEAT,0,5
249,RandomBot,DEFEAT,0,7
250,RandomBot,DEFEAT,0,1
251,RandomBot,DEFEAT,0,6
252,RandomBot,DEFEAT,0,6
253,RandomBot,DEFEAT,0,3
254,RandomBot,DEFEAT,0,2
255,RandomBot,DEFEAT,0,2
256,RandomBot,DEFEAT,0,4
257,RandomBot,DEFEAT,0,3
258,RandomBot,DEFEAT,0,10
259,RandomBot,DEFEAT,0,7
260,RandomBot,DEFEAT,0,2
261,RandomBot,DEFEAT,0,2
262,RandomBot,DEFEAT,0,7
263,RandomBot,DEFEAT,0,3
264,RandomBot,DEFEAT,0,10
265,RandomBot,DEFEAT,1,3
266,RandomBot,DEFEAT,0,1
267,RandomBot,DEFEAT,0,2
268,RandomBot,DEFEAT,0,8
269,RandomBot,DEFEAT,0,5
270,RandomBot,DEFEAT,0,10
271,RandomBot,DEFEAT,0,3
272,RandomBot,DEFEAT,0,4
273,RandomBot,DEFEAT,0,3
274,RandomBot,DEFEAT,0,6
275,RandomBot,DEFEAT,0,4
276,RandomBot,DEFEAT,0,12
277,RandomBot,DEFEAT,0,2
278,RandomBot,DEFEAT,0,2
279,RandomBot,DEFEAT,0,2
280,RandomBot,DEFEAT,0,3
281,RandomBot,DEFEAT,0,6
282,RandomBot,DEFEAT,0,1
283,RandomBot,DEFEAT,0,9
284,RandomBot,DEFEAT,0,6
285,RandomBot,DEFEAT,0,3
286,RandomBot,DEFEAT,0,4
287,RandomBot,DEFEAT,0,2
288,RandomBot,DEFEAT,0,4
289,RandomBot,DEFEAT,0,9
290,RandomBot,DEFEAT,0,3
291,RandomBot,DEFEAT,0,1
292,RandomBot,DEFEAT,0,4
293,RandomBot,DEFEAT,0,10
294,RandomBot,DEFEAT,0,13
295,RandomBot,DEFEAT,0,4
296,RandomBot,DEFEAT,0,6
297,RandomBot,DEFEAT,0,2
298,RandomBot,DEFEAT,0,6
299,RandomBot,DEFEAT,0,5
300,RandomBot,DEFEAT,0,5
301,RandomBot,DEFEAT,0,11
302,RandomBot,DEFEAT,0,5
303,RandomBot,DEFEAT,0,5
304,RandomBot,DEFEAT,0,6
305,RandomBot,DEFEAT,0,7
306,RandomBot,DEFEAT,0,2
307,RandomBot,DEFEAT,0,2
308,RandomBot,DEFEAT,1,6
309,RandomBot,DEFEAT,0,10
310,RandomBot,DEFEAT,0,4
311,RandomBot,DEFEAT,0,3
